schlcode,sc_size,sc_boys,sc_girls,mrkgrm,mrkmth,classize,pct_dis,class_id,regioncode,n_classes
11005,35,12,23,66,65,35,24,1,Reg3,1
11006,54,23,31,61,57,27,38,2,Reg3,2
11006,54,23,31,61,57,27,38,3,Reg3,2
11009,38,15,23,78,77,38,6,4,Reg1,1
11010,73,40,33,74,64,37,3,5,Reg3,2
11010,73,40,33,74,64,36,3,6,Reg3,2
11013,65,31,34,64,65,31,8,8,Reg3,2
11013,65,31,34,64,65,34,8,7,Reg3,2
11015,89,35,54,84,80,30,6,9,Reg3,3
11015,89,35,54,84,80,30,6,10,Reg3,3
11015,89,35,54,84,80,29,6,11,Reg3,3
11017,85,43,42,68,66,29,9,12,Reg3,3
11017,85,43,42,68,66,28,9,13,Reg3,3
11017,85,43,42,68,66,28,9,14,Reg3,3
11020,74,32,42,75,76,38,5,15,Reg3,2
11020,74,32,42,75,76,36,5,16,Reg3,2
11021,66,31,35,75,71,34,11,18,Reg3,2
11021,66,31,35,75,71,31,11,17,Reg3,2
11027,96,48,48,77,71,33,5,19,Reg3,3
11027,96,48,48,77,71,32,5,20,Reg3,3
11027,96,48,48,77,71,31,5,21,Reg3,3
11029,87,39,48,65,60,31,11,22,Reg3,3
11029,87,39,48,65,60,26,11,23,Reg3,3
11029,87,39,48,65,60,30,11,24,Reg3,3
11031,73,36,37,77,72,36,12,25,Reg3,2
11031,73,36,37,77,72,37,12,26,Reg3,2
11032,80,40,40,62,61,29,13,27,Reg3,3
11032,80,40,40,62,61,29,13,28,Reg3,3
11032,80,40,40,62,61,29,13,29,Reg3,3
11034,79,49,30,66,62,26,11,30,Reg3,3
11034,79,49,30,66,62,26,11,31,Reg3,3
11034,79,49,30,66,62,27,11,32,Reg3,3
11045,77,34,43,74,69,38,9,34,Reg3,2
11045,77,34,43,74,69,39,9,35,Reg3,2
11048,87,87,0,81,81,22,11,36,Reg3,2
11048,87,87,0,81,81,23,11,37,Reg3,2
11054,42,42,0,67,63,22,17,38,Reg3,2
11054,42,42,0,67,63,20,17,39,Reg3,2
11061,50,22,28,66,55,22,15,41,Reg3,2
11061,50,22,28,66,55,28,15,42,Reg3,2
11064,21,9,12,52,45,21,25,43,Reg2,1
11065,23,9,14,66,60,23,42,44,Reg2,1
11067,60,34,26,53,55,26,31,46,Reg2,2
11067,60,34,26,53,55,27,31,45,Reg2,2
11072,49,26,23,70,66,24,25,47,Reg2,2
11072,49,26,23,70,66,25,25,48,Reg2,2
11073,43,21,22,82,76,21,7,49,Reg1,2
11073,43,21,22,82,76,22,7,50,Reg1,2
11106,65,38,27,78,68,26,3,51,Reg3,2
11106,65,38,27,78,68,27,3,52,Reg3,2
11109,118,50,68,79,74,30,5,54,Reg2,4
11109,118,50,68,79,74,33,5,55,Reg2,4
11109,118,50,68,79,74,24,5,56,Reg2,4
11109,118,50,68,79,74,31,5,57,Reg2,4
11111,99,50,49,67,66,34,5,58,Reg3,3
11111,99,50,49,67,66,29,5,59,Reg3,3
11111,99,50,49,67,66,36,5,60,Reg3,3
11115,60,30,30,69,59,18,11,61,Reg3,2
11115,60,30,30,69,59,30,11,62,Reg3,2
11117,72,40,32,65,57,32,31,63,Reg3,2
11117,72,40,32,65,57,33,31,64,Reg3,2
11119,83,39,44,72,64,22,21,65,Reg4,3
11119,83,39,44,72,64,39,21,66,Reg4,3
11119,83,39,44,72,64,22,21,67,Reg4,3
11120,107,51,56,66,57,37,2,68,Reg3,3
11120,107,51,56,66,57,36,2,69,Reg3,3
11120,107,51,56,66,57,34,2,70,Reg3,3
11126,45,0,45,67,58,23,16,71,Reg3,2
11126,45,0,45,67,58,22,16,72,Reg3,2
11132,95,44,51,79,67,33,9,76,Reg4,3
11132,95,44,51,79,67,32,9,77,Reg4,3
11132,95,44,51,79,67,30,9,75,Reg4,3
11133,32,16,16,77,81,32,7,78,Reg3,1
11134,65,37,28,71,56,34,2,79,Reg3,2
11134,65,37,28,71,56,31,2,80,Reg3,2
11135,66,36,30,81,78,31,4,81,Reg3,2
11135,66,36,30,81,78,35,4,82,Reg3,2
11144,98,59,39,68,63,32,10,83,Reg3,3
11144,98,59,39,68,63,32,10,85,Reg3,3
11144,98,59,39,68,63,33,10,84,Reg3,3
11145,21,11,10,72,60,21,10,86,Reg4,1
11150,88,44,44,76,70,31,2,88,Reg3,3
11150,88,44,44,76,70,27,2,89,Reg3,3
11150,88,44,44,76,70,30,2,87,Reg3,3
11151,28,16,12,58,53,28,42,90,Reg3,1
11152,92,49,43,75,70,29,5,91,Reg3,3
11152,92,49,43,75,70,32,5,92,Reg3,3
11152,92,49,43,75,70,31,5,93,Reg3,3
11159,43,22,21,70,67,22,17,95,Reg3,2
11159,43,22,21,70,67,21,17,94,Reg3,2
11161,47,28,19,73,64,23,19,96,Reg3,2
11161,47,28,19,73,64,24,19,97,Reg3,2
11168,26,19,7,71,68,26,5,99,Reg3,1
11169,23,15,8,84,77,23,0,100,Reg3,1
11170,75,40,35,81,72,35,2,102,Reg4,2
11170,75,40,35,81,72,40,2,101,Reg4,2
11171,93,47,46,76,74,47,8,103,Reg4,3
11171,93,47,46,76,74,24,8,105,Reg4,3
11171,93,47,46,76,74,22,8,104,Reg4,3
11172,15,6,9,75,79,15,7,106,Reg4,1
11182,54,24,30,71,63,30,9,108,Reg3,2
11182,54,24,30,71,63,24,9,109,Reg3,2
11183,71,31,40,74,69,36,1,110,Reg3,2
11183,71,31,40,74,69,35,1,111,Reg3,2
11184,99,57,42,78,72,33,5,112,Reg4,3
11184,99,57,42,78,72,33,5,113,Reg4,3
11184,99,57,42,78,72,33,5,114,Reg4,3
11187,119,60,59,77,72,40,4,115,Reg3,3
11187,119,60,59,77,72,39,4,116,Reg3,3
11187,119,60,59,77,72,40,4,117,Reg3,3
11188,41,17,24,58,39,21,12,118,Reg3,2
11188,41,17,24,58,39,16,12,119,Reg3,2
11190,86,44,42,71,68,29,5,121,Reg3,3
11190,86,44,42,71,68,27,5,122,Reg3,3
11190,86,44,42,71,68,30,5,123,Reg3,3
11196,29,15,14,74,69,29,0,124,Reg4,1
11201,84,47,37,71,71,28,3,125,Reg3,3
11201,84,47,37,71,71,28,3,126,Reg3,3
