town,t,treatment,x1,x2,after,y
1,1,1,.64031237,8.714529,0,2.5408976
1,2,1,.84867972,9.3626337,0,2.5900469
1,3,1,.018195035,6.9096355,0,2.7304642
1,4,1,.98079765,9.2500267,0,3.0823314
1,5,1,.0073962789,7.2208743,0,3.3987694
1,6,1,.3435877,8.917202,1,3.4172404
1,7,1,.96959341,8.3759985,1,3.0400057
1,8,1,.26215553,8.6725025,1,3.5719197
1,9,1,.12403024,9.7589464,1,3.7802596
1,10,1,.78514326,8.2182522,1,3.1891837
2,1,1,.83442283,7.4891291,0,2.3711288
2,2,1,.74711579,7.5336475,0,1.5134677
2,3,1,.43949884,8.2188721,0,2.317898
2,4,1,.34818867,8.5950336,0,3.1141429
2,5,1,.54125255,7.5256853,0,1.9960736
2,6,1,.097652584,8.1858225,1,2.3549066
2,7,1,.50104678,6.9132142,1,2.573019
2,8,1,.0052713626,7.9186254,1,3.7560508
2,9,1,.35972154,7.7101164,1,3.4567697
2,10,1,.48611706,10.260899,1,4.3643064
3,1,1,.36469001,7.6416807,0,2.7144918
3,2,1,.0047400873,8.0982285,0,2.8604066
3,3,1,.40962458,9.2059288,0,3.614233
3,4,1,.0088323299,8.0911856,0,2.4540219
3,5,1,.93742341,6.7772169,0,2.3173225
3,6,1,.25466639,7.6927428,1,2.690315
3,7,1,.56599051,7.6530771,1,2.5935917
3,8,1,.031068552,7.6805077,1,2.8504806
3,9,1,.36659044,8.6484823,1,4.0168266
3,10,1,.56199926,7.3204327,1,3.7637753
4,1,1,.20666637,9.5339117,0,3.4529176
4,2,1,.99051785,9.2387686,0,2.5226269
4,3,1,.18746907,6.936758,0,2.4694471
4,4,1,.96439642,8.1059074,0,2.5054262
4,5,1,.065209419,8.5493994,0,2.7296734
4,6,1,.14198613,8.8443422,1,3.2878318
4,7,1,.043918718,8.5075617,1,3.5640321
4,8,1,.57484156,8.7740984,1,3.5095363
4,9,1,.4804571,6.3610916,1,3.0629826
4,10,1,.54456079,7.7688856,1,3.7193627
5,1,1,.96764594,7.5256362,0,.70014226
5,2,1,.36932674,8.5698433,0,2.9389884
5,3,1,.87218142,8.3937778,0,2.7594559
5,4,1,.007844273,8.0181742,0,3.9063463
5,5,1,.14350377,9.4984751,0,2.748564
5,6,1,.6472702,7.3196001,1,3.3978467
5,7,1,.47450396,6.2489753,1,2.9526212
5,8,1,.95666349,8.4723291,1,2.8743205
5,9,1,.87580466,7.930788,1,3.5724652
5,10,1,.90040946,7.4458437,1,2.9070385
6,1,1,.034472164,7.3471479,0,2.7298961
6,2,1,.63865185,8.0128784,0,3.4340518
6,3,1,.48634252,8.8573036,0,2.4020541
6,4,1,.90945369,8.0650768,0,1.9320389
6,5,1,.1752304,7.5738559,0,1.8821173
6,6,1,.69286108,8.2165375,1,2.8250787
6,7,1,.15229437,9.9511223,1,3.4842911
6,8,1,.046635348,8.2153015,1,3.1137683
6,9,1,.37226531,7.7315826,1,3.5686669
6,10,1,.12930785,9.3402634,1,4.5347276
7,1,1,.55304945,7.6025705,0,2.3603423
7,2,1,.18496232,6.2170315,0,1.2923321
7,3,1,.48526385,9.0834332,0,2.642859
7,4,1,.78896481,7.7801647,0,2.6772053
7,5,1,.89629221,6.8932519,0,1.9250765
7,6,1,.43832207,7.7786584,1,2.4398763
7,7,1,.82113832,8.4424334,1,3.0863757
7,8,1,.32981685,7.4070349,1,3.3454974
7,9,1,.97212154,8.2849274,1,2.5589828
7,10,1,.73147994,9.591341,1,4.1685681
8,1,1,.64793873,6.6510854,0,1.0669296
8,2,1,.98923182,9.4529152,0,2.4015946
8,3,1,.056100212,8.359807,0,2.9602518
8,4,1,.37151188,8.635746,0,3.0986629
8,5,1,.65837669,8.3148394,0,2.3577821
8,6,1,.5734942,9.55686,1,3.6331153
8,7,1,.31388822,8.1466093,1,3.2187378
8,8,1,.54247403,6.6352458,1,3.1946638
8,9,1,.80576921,8.3339577,1,3.3566015
8,10,1,.083549112,8.995183,1,4.2703876
9,1,1,.076808527,7.3407726,0,2.3467486
9,2,1,.87066662,7.1452618,0,1.7785261
9,3,1,.92733943,7.1549969,0,1.8937958
9,4,1,.70543128,8.3463097,0,2.8912082
9,5,1,.2892127,10.274488,0,2.505429
9,6,1,.42331719,6.6977105,1,3.0706558
9,7,1,.85409093,7.3685026,1,2.6886015
9,8,1,.83234811,8.325222,1,2.8318515
9,9,1,.96815562,6.2422943,1,1.9698364
9,10,1,.41767269,8.7046909,1,3.5129838
10,1,1,.50626373,8.2751465,0,2.1790569
10,2,1,.21648964,7.605032,0,2.49491
10,3,1,.82951093,7.6148601,0,1.827931
10,4,1,.20927596,8.2309322,0,2.5652437
10,5,1,.71478778,6.6097765,0,2.273654
10,6,1,.40286699,6.8741322,1,2.4525089
10,7,1,.40856278,8.5288544,1,2.620703
10,8,1,.43907768,8.3148899,1,2.8318686
10,9,1,.1040544,5.7452397,1,3.477453
10,10,1,.3484548,7.2463989,1,4.1949706
11,1,1,.15032527,8.4974022,0,3.3060694
11,2,1,.39344859,9.811554,0,2.5270743
11,3,1,.9950884,9.5921459,0,2.8943608
11,4,1,.26030669,9.8360748,0,3.1391838
11,5,1,.81167126,6.5081854,0,1.8094589
11,6,1,.82958961,9.1578293,1,2.7237616
11,7,1,.28240028,9.6994267,1,4.0547996
11,8,1,.13522492,6.977953,1,3.180608
11,9,1,.3293463,10.047869,1,3.4217761
11,10,1,.25863028,6.0112929,1,2.6908798
12,1,1,.25389665,10.128038,0,2.4735131
12,2,1,.60357833,7.4444556,0,1.7739546
12,3,1,.94981176,8.1446476,0,2.4181902
12,4,1,.01573929,9.1609068,0,3.4778469
12,5,1,.55097842,9.2461567,0,3.222177
12,6,1,.67631721,6.2465014,1,1.4644288
12,7,1,.56009912,7.6494303,1,2.8905954
12,8,1,.79966307,9.149929,1,4.2159872
12,9,1,.38935256,8.6429596,1,3.3157246
12,10,1,.92446148,7.3913641,1,3.566263
13,1,1,.7699948,8.8321438,0,2.2817318
13,2,1,.90411299,7.9598866,0,2.507386
13,3,1,.086731151,6.9894753,0,2.2857137
13,4,1,.28045279,7.6701412,0,3.1370161
13,5,1,.38801408,8.166378,0,2.1234753
13,6,1,.91406697,7.534709,1,1.9879093
13,7,1,.8697049,8.6913776,1,3.2970808
13,8,1,.42706978,9.3984032,1,4.2407489
13,9,1,.7051602,8.1933413,1,3.3654826
13,10,1,.10055611,6.463954,1,2.6542723
14,1,1,.97036028,5.468977,0,1.6128614
14,2,1,.95775342,6.1147537,0,.91012615
14,3,1,.8208198,7.8782077,0,2.4788644
14,4,1,.62092227,7.6471777,0,3.3066485
14,5,1,.4097631,7.2618647,0,1.7673999
14,6,1,.09822695,9.0868549,1,2.8955815
14,7,1,.67606193,7.8604956,1,3.3881059
14,8,1,.98688912,9.1931725,1,3.3440869
14,9,1,.66833252,9.6190815,1,4.2042828
14,10,1,.27882358,7.6075959,1,3.8619561
15,1,1,.32644528,8.104291,0,1.9317639
15,2,1,.10400926,7.8869801,0,2.9362946
15,3,1,.15170169,9.2880173,0,3.491734
15,4,1,.58019924,7.7740479,0,2.4401145
15,5,1,.30993843,7.913065,0,3.147074
15,6,1,.0092350002,6.4586477,1,2.713588
15,7,1,.51330805,7.4970484,1,2.8948736
15,8,1,.98860389,8.3614731,1,3.0121696
15,9,1,.69127303,10.028536,1,4.01439
15,10,1,.12619424,8.5583687,1,3.9029062
16,1,1,.93996197,7.7574301,0,2.6030881
16,2,1,.15139665,9.2475939,0,2.770818
16,3,1,.074926257,9.552145,0,3.5889199
16,4,1,.95714027,7.7589159,0,2.4418881
16,5,1,.78743058,6.9017782,0,1.4117045
16,6,1,.62431371,9.0018692,1,3.1665401
16,7,1,.83845812,7.9412537,1,2.8696241
16,8,1,.88091546,7.4530296,1,2.2664466
16,9,1,.11066299,5.8978362,1,2.2133594
16,10,1,.26891169,7.8529387,1,4.1015773
17,1,1,.65956444,8.5006094,0,2.032934
17,2,1,.8913033,8.4198532,0,2.3377607
17,3,1,.7243911,7.2816577,0,2.3564553
17,4,1,.58584422,8.3316708,0,2.1577518
17,5,1,.50654286,8.6784544,0,3.5143087
17,6,1,.7314561,7.1618595,1,3.1765118
17,7,1,.30358455,6.582058,1,2.5681081
17,8,1,.91113275,7.3022871,1,3.4324329
17,9,1,.65914947,8.7372284,1,3.0919306
17,10,1,.20609862,7.6683846,1,2.7959023
18,1,1,.28142554,7.1861796,0,1.4884704
18,2,1,.55310506,6.6502247,0,1.9682118
18,3,1,.46832934,10.177395,0,3.7024779
18,4,1,.19391766,8.0027618,0,2.907846
18,5,1,.95183671,8.9901104,0,2.771961
18,6,1,.67521125,8.8158035,1,3.2682333
18,7,1,.30836764,8.4846678,1,3.0684927
18,8,1,.36497578,7.6020689,1,2.4405007
18,9,1,.0074992147,8.9050846,1,3.2873228
18,10,1,.017395608,8.2970057,1,3.7263818
19,1,1,.87622893,7.7237997,0,2.1613472
19,2,1,.19100393,5.8726401,0,2.2734704
19,3,1,.65616935,8.0698433,0,2.3948762
19,4,1,.68031168,9.1935434,0,3.2897017
19,5,1,.32546625,7.9705133,0,2.8606586
19,6,1,.25982744,8.1952934,1,3.6244206
19,7,1,.40843615,8.2478971,1,3.7678866
19,8,1,.31907123,9.4909124,1,2.9205739
19,9,1,.1655923,9.3628025,1,4.0421977
19,10,1,.33800057,7.5365462,1,3.0627339
20,1,1,.96727157,8.9515638,0,2.2547922
20,2,1,.95685744,7.2963715,0,1.899472
20,3,1,.306279,8.9937038,0,3.6905806
20,4,1,.70552433,8.5656891,0,1.8038583
20,5,1,.29769892,9.9624453,0,3.3166766
20,6,1,.58419478,8.2780256,1,1.8460201
20,7,1,.94493508,9.0339069,1,2.9549811
20,8,1,.5395447,6.0481558,1,2.9262776
20,9,1,.7131741,7.061182,1,2.9155462
20,10,1,.70393026,7.306426,1,3.6229358
21,1,1,.93773156,7.4648809,0,1.8409758
21,2,1,.32782146,8.9169788,0,2.4401014
21,3,1,.65766585,8.4941912,0,2.8466837
21,4,1,.82231426,7.0363865,0,2.5024483
21,5,1,.25318348,7.2389116,0,2.7167978
21,6,1,.87765235,7.5686035,1,2.7308228
21,7,1,.66998345,9.2937536,1,3.3412323
21,8,1,.5998612,9.8198252,1,4.1473961
21,9,1,.39208418,7.8028059,1,3.9933925
21,10,1,.41721353,8.9159336,1,4.0256176
22,1,1,.76652211,9.739562,0,3.1847599
22,2,1,.15526579,7.9677248,0,3.3121326
22,3,1,.11994772,7.75175,0,3.1662364
22,4,1,.21295646,7.3546796,0,1.9259926
22,5,1,.82014275,7.3610983,0,1.9581417
22,6,1,.343716,6.2099957,1,2.8925831
22,7,1,.23276962,8.8348064,1,3.0273116
22,8,1,.62798613,7.7189369,1,2.5819104
22,9,1,.97564501,9.0315218,1,3.3518882
22,10,1,.93556571,8.0637922,1,3.3531895
23,1,1,.4686954,6.6862454,0,1.774215
23,2,1,.1693728,7.8906212,0,3.6632588
23,3,1,.65943134,6.9946389,0,2.1555409
23,4,1,.51992148,7.5639162,0,1.4779468
23,5,1,.10439623,8.4633904,0,2.9503443
23,6,1,.53994751,7.9624424,1,3.0636876
23,7,1,.87919241,9.0681047,1,3.1922715
23,8,1,.21206822,7.9466228,1,2.5514789
23,9,1,.63097471,9.5274849,1,3.610822
23,10,1,.36970618,6.103034,1,2.5433197
24,1,1,.42058235,9.6838722,0,3.0472941
24,2,1,.12859674,7.3464875,0,2.3991365
24,3,1,.32863867,6.5412383,0,2.1950054
24,4,1,.84209472,9.2237282,0,3.1435442
24,5,1,.1982754,6.3101339,0,2.0977654
24,6,1,.63466626,9.8116856,1,3.9333279
24,7,1,.077742346,7.8785,1,3.8527834
24,8,1,.37919185,8.5694141,1,2.3724966
24,9,1,.99238688,8.2183123,1,2.9763463
24,10,1,.056941252,7.8079872,1,3.7730839
25,1,1,.78660524,7.8243294,0,2.2381396
25,2,1,.25662148,9.7655458,0,3.5778246
25,3,1,.3191306,8.648942,0,2.6612263
25,4,1,.046431608,7.4386997,0,3.1210003
25,5,1,.47200298,9.342989,0,2.5574529
25,6,1,.92145455,9.4806337,1,2.6815896
25,7,1,.45021939,6.9732428,1,3.2511668
25,8,1,.53520602,7.9713206,1,3.6646268
25,9,1,.17058553,7.6240349,1,4.0815644
25,10,1,.23908731,7.4169426,1,3.1543169
26,1,1,.70246029,7.7218685,0,2.0312862
26,2,1,.36094394,7.5855408,0,3.0320144
26,3,1,.58121771,9.9450045,0,3.3374059
26,4,1,.79721206,7.9474945,0,2.4295137
26,5,1,.66302264,7.4648695,0,2.7288868
26,6,1,.85430062,6.8279338,1,2.782614
26,7,1,.82057893,6.9560509,1,2.2244439
26,8,1,.084785894,7.9442492,1,3.0742252
26,9,1,.47747165,7.0912848,1,3.1138744
26,10,1,.36750719,9.260746,1,4.4542589
27,1,1,.51273233,8.4879532,0,2.6733322
27,2,1,.79871792,8.2421522,0,2.2683182
27,3,1,.3278046,9.0365019,0,2.9899466
27,4,1,.32269821,7.4600005,0,2.8893323
27,5,1,.055962961,9.8864059,0,3.9005694
27,6,1,.94377542,7.9065685,1,2.3774931
27,7,1,.6163615,7.5485716,1,3.0538714
27,8,1,.78610307,9.0160179,1,3.3381591
27,9,1,.1388744,9.5238323,1,4.4366169
27,10,1,.58036757,8.543066,1,3.8211446
28,1,1,.93188876,8.0814552,0,2.5154047
28,2,1,.29723641,7.7146606,0,2.2420902
28,3,1,.088229105,7.8482771,0,3.2738116
28,4,1,.72564632,7.9448228,0,2.5819888
28,5,1,.64849472,8.7858105,0,3.1688416
28,6,1,.57969761,8.4065199,1,3.6067827
28,7,1,.97809893,5.5099802,1,1.8922641
28,8,1,.15752968,8.3281431,1,3.7575254
28,9,1,.56079,8.4694939,1,2.6006577
28,10,1,.28330952,8.1483917,1,3.8427916
29,1,1,.58837342,7.6014032,0,1.8560935
29,2,1,.68029243,8.2883883,0,3.1086674
29,3,1,.076230809,9.1502876,0,3.1099818
29,4,1,.36586159,8.3955555,0,2.5720036
29,5,1,.57372916,8.545969,0,2.4926364
29,6,1,.84719104,7.0586901,1,2.4303074
29,7,1,.22519425,10.513411,1,4.1352611
29,8,1,.73253745,8.1177397,1,2.2914495
29,9,1,.78639513,8.5505438,1,3.1357408
29,10,1,.49973595,7.9434485,1,3.1554959
30,1,1,.30652845,6.6472387,0,1.6146538
30,2,1,.13240062,7.7895546,0,2.9735727
30,3,1,.54329813,7.8411818,0,3.0061848
30,4,1,.13327937,8.0999241,0,2.8511086
30,5,1,.97742897,6.0946531,0,3.0027459
30,6,1,.94289273,7.8544064,1,3.108943
30,7,1,.82353747,8.7338457,1,3.4369259
30,8,1,.56764317,7.0136595,1,3.3467638
30,9,1,.00096063031,8.9354305,1,4.0543242
30,10,1,.61128688,8.3695946,1,3.1859288
31,1,1,.87966484,8.6185017,0,1.605913
31,2,1,.68272263,8.3280792,0,2.3955848
31,3,1,.17266674,7.2227888,0,2.4346941
31,4,1,.21406551,7.2933912,0,2.865283
31,5,1,.90091783,7.7591734,0,2.0175159
31,6,1,.30043027,6.4478569,1,2.6220014
31,7,1,.21599029,9.4716206,1,4.0949278
31,8,1,.39937717,10.394095,1,4.2585263
31,9,1,.029568182,7.934092,1,2.9518023
31,10,1,.76141483,7.3667889,1,2.9471304
32,1,1,.76134014,9.1870117,0,1.6583829
32,2,1,.46210885,8.3501863,0,1.7869067
32,3,1,.94936788,7.0061979,0,2.6629965
32,4,1,.34927988,6.6901622,0,2.755543
32,5,1,.24915217,7.3612127,0,2.7355964
32,6,1,.27221772,7.4816751,1,2.4945033
32,7,1,.90650129,5.5737658,1,1.6190852
32,8,1,.98570096,6.2079306,1,1.6128145
32,9,1,.38085228,7.5938177,1,3.2156518
32,10,1,.70728379,6.8257618,1,2.3522332
33,1,1,.50708055,7.744978,0,2.0640817
33,2,1,.42930329,8.4604454,0,2.9837856
33,3,1,.78370082,7.6415567,0,2.1066225
33,4,1,.14539219,6.8125668,0,2.8357065
33,5,1,.67939806,7.1125011,0,2.6746688
33,6,1,.96848845,8.6356192,1,3.0261459
33,7,1,.86474276,8.5983944,1,3.0700867
33,8,1,.039397165,5.8965392,1,2.7019539
33,9,1,.073867068,6.9150591,1,3.2473552
33,10,1,.16433845,8.9912262,1,3.834945
34,1,1,.076015249,8.4163227,0,3.2422085
34,2,1,.38552606,7.322051,0,2.5004489
34,3,1,.4967306,7.1219807,0,1.7825134
34,4,1,.84277028,8.8673439,0,2.8706899
34,5,1,.38977885,9.5672169,0,3.5411987
34,6,1,.24883485,7.7693925,1,2.4278288
34,7,1,.29760191,8.0218182,1,3.426043
34,8,1,.1259639,8.5966797,1,3.1974037
34,9,1,.30920956,5.5328889,1,2.4791105
34,10,1,.2824651,7.952415,1,3.5103145
35,1,1,.78833455,7.7415166,0,1.1625262
35,2,1,.47721305,7.837265,0,2.4476092
35,3,1,.13949262,6.9576101,0,3.1828096
35,4,1,.70614338,8.3466749,0,2.3437848
35,5,1,.35632643,8.3259068,0,3.1999049
35,6,1,.17588244,7.8421478,1,3.7583454
35,7,1,.83022016,8.4872694,1,2.9762866
35,8,1,.57448184,9.1809158,1,3.5629489
35,9,1,.59736705,7.1074424,1,2.6981757
35,10,1,.99882442,8.0641947,1,4.0074549
36,1,1,.060580641,9.4044647,0,3.4654443
36,2,1,.18305872,6.9990678,0,2.6474292
36,3,1,.77018023,7.8436785,0,2.2403126
36,4,1,.55452234,8.3294077,0,2.3930192
36,5,1,.22310416,8.8624763,0,3.3082464
36,6,1,.56133282,6.8323979,1,2.987339
36,7,1,.97995007,9.5926466,1,3.627589
36,8,1,.74431407,8.7882442,1,2.9342637
36,9,1,.13959245,7.7880526,1,3.9978638
36,10,1,.54950958,6.9076371,1,3.730351
37,1,1,.96432555,7.3023481,0,.84648418
37,2,1,.35090628,7.0495329,0,2.1538999
37,3,1,.43452579,8.7454414,0,2.5808101
37,4,1,.19071022,8.2165184,0,3.4748616
37,5,1,.42341107,7.5245738,0,2.8186033
37,6,1,.13501391,10.159192,1,4.2138901
37,7,1,.065942116,8.3169956,1,2.8610377
37,8,1,.40538684,7.7034369,1,3.1312861
37,9,1,.50264305,7.9982886,1,3.7951858
37,10,1,.10598835,7.9134135,1,3.4580145
38,1,1,.24864767,7.8625178,0,2.300832
38,2,1,.010417558,6.7131057,0,2.7455475
38,3,1,.15877058,7.9429016,0,3.3134208
38,4,1,.57536399,7.2025318,0,2.5620043
38,5,1,.86981511,8.5428352,0,2.438201
38,6,1,.59747189,10.041655,1,3.6052489
38,7,1,.12291048,7.837492,1,2.0343111
38,8,1,.78711587,7.3378859,1,3.0384638
38,9,1,.43236959,7.3332415,1,3.1160486
38,10,1,.6532917,7.0820003,1,2.9103043
39,1,1,.7207737,9.1867456,0,2.3515422
39,2,1,.10651455,6.5143909,0,1.8119957
39,3,1,.25961334,8.4488258,0,3.119988
39,4,1,.76822537,7.6805067,0,1.7063187
39,5,1,.39170074,7.3171597,0,2.4791403
39,6,1,.2246936,9.5362778,1,3.052536
39,7,1,.20176925,7.7852287,1,3.321897
39,8,1,.5471158,8.2287045,1,3.1228592
39,9,1,.89144194,8.087204,1,3.1858633
39,10,1,.61124343,7.9052248,1,3.1242738
40,1,1,.93931788,7.6319876,0,2.003819
40,2,1,.53396392,6.0054469,0,1.4165215
40,3,1,.61608863,6.6809807,0,1.7707299
40,4,1,.54770172,6.4027748,0,1.6491516
40,5,1,.66496408,8.8017187,0,3.4388101
40,6,1,.64726186,8.7053127,1,3.1497462
40,7,1,.67164439,8.8904619,1,4.1080227
40,8,1,.028381182,6.9973993,1,3.6283054
40,9,1,.93293285,8.7291718,1,2.4512815
40,10,1,.7501502,9.0506792,1,3.5448821
41,1,1,.33573437,8.7758713,0,2.4740388
41,2,1,.75096917,7.7589211,0,2.7320855
41,3,1,.63564038,9.2564964,0,2.4211793
41,4,1,.1827171,7.7709093,0,2.8879313
41,5,1,.91015923,8.3624802,0,2.8359714
41,6,1,.61539847,8.2237902,1,2.6384983
41,7,1,.64943451,8.183815,1,3.3705058
41,8,1,.26833123,8.2680721,1,3.4780388
41,9,1,.66946632,8.7069883,1,2.8253076
41,10,1,.85243648,7.8551064,1,3.7542341
42,1,1,.3152132,8.9021587,0,2.7253695
42,2,1,.28009591,8.3601875,0,2.4057651
42,3,1,.30540052,6.9161525,0,1.5960711
42,4,1,.99179369,7.1108541,0,2.0086632
42,5,1,.090123668,7.6303549,0,2.4132664
42,6,1,.28222075,6.9184928,1,2.8792994
42,7,1,.17417309,8.1373768,1,3.316735
42,8,1,.82458347,7.6508522,1,2.8060892
42,9,1,.91989529,9.9922447,1,3.5218668
42,10,1,.1654142,8.214056,1,3.2519801
43,1,1,.48445186,5.5389128,0,1.0076721
43,2,1,.80466282,8.892807,0,2.140794
43,3,1,.62164092,7.0852728,0,1.4537731
43,4,1,.71817094,8.4688501,0,2.6323078
43,5,1,.99200201,8.2365065,0,2.7494764
43,6,1,.50680226,9.4268694,1,3.6329358
43,7,1,.26682857,8.3372869,1,2.9984992
43,8,1,.65111256,9.9778872,1,3.3824162
43,9,1,.96207118,10.246828,1,3.7786644
