oldcode,state,povrate60,hsspend_per_kid_68,hsspend_per_kid_72,socspend_per_cap72,age5_9_sum2,age5_9_injury_rate,age25plus_sum2,rate_5964,pop60,pct_urban_1960,pct_black_1960
1001,1,52.959282,0,0,364.58176,0,31.595577,83.300934,14.318442,18674,35.299999,42.099998
1002,1,41.671013,325.84641,423.30118,345.69431,0,11.648732,97.055901,11.500201,50263,26.4,21
1003,1,65.645645,163.03484,0,515.30627,4.1084633,20.542316,138.9055,16.655563,25058,33.799999,52
1004,1,56.27055,0,0,461.7999,0,26.693359,118.44641,10.162601,14923,0,30.799999
1005,1,45.624458,0,0,323.31992,0,12.74413,97.972374,0,25414,16.299999,3.3
1006,1,71.88475,0,0,462.34186,9.0440445,63.308311,167.00945,0,13636,27.5,71.900002
1007,1,63.271542,182.21475,0,441.5127,4.9649968,14.89499,166.63103,11.462632,24637,26.1,44.700001
1008,1,34.06308,135.51003,175.71968,355.94022,3.0577612,14.269552,112.09512,9.5328884,96246,55.5,18.700001
1009,1,42.778378,0,0,378.38101,2.7555041,24.799538,153.41283,8.373106,38929,42.099998,36.700001
1010,1,47.205925,0,0,335.66321,12.558869,43.956043,76.581154,29.291155,16886,0,10.3
1011,1,52.229008,0,0,435.96228,0,29.610985,136.84772,24.866343,26213,22.1,15.9
1012,1,62.109222,0,0,382.017,0,16.834072,121.6386,0,18140,0,49.599998
1013,1,58.466175,0,0,389.71561,10.557804,35.19268,137.66571,0,26738,31.6,49.5
1014,1,49.76548,0,0,434.69611,0,24.384296,166.34323,0,12852,0,16.299999
1015,1,52.199707,134.05945,0,313.17752,0,18.258171,99.216446,0,11051,0,6.4000001
1016,1,50.684071,316.55264,0,356.87973,5.7636886,14.409222,87.101814,4.9005194,30383,51.400002,20.700001
1017,1,35.326622,468.03296,0,371.55484,0,23.583895,106.28749,0,46985,57.099998,19.299999
1018,1,62.961342,0,0,475.75262,0,27.363523,139.325,16.00256,18372,20.799999,45.400002
1019,1,51.698772,432.98355,0,373.89044,0,47.267914,96.005341,13.728721,11428,0,36.200001
1020,1,46.309258,0,0,470.75558,3.4018233,17.009117,125.3179,9.4082232,36577,52.799999,16.1
1021,1,64.908119,0,0,516.63556,8.393487,67.147896,164.30614,0,15190,0,31.1
1022,1,48.081337,371.6835,471.99023,396.72763,3.7777903,20.777847,105.6459,3.5280836,46017,23.9,1.1
1023,1,40.678829,0,105.08408,276.08353,0,23.982384,74.866142,5.0413389,31527,30.700001,17.6
1024,1,58.209354,0,243.82149,452.34048,3.4520254,24.164179,150.34642,4.7415838,56866,50.099998,57.700001
1025,1,49.628716,312.73251,527.59161,436.845,0,32.5168,94.157188,8.0282593,42292,17,2
1026,1,47.932415,0,158.48236,404.20306,0,31.421839,117.16189,5.038291,30189,22.4,33.700001
1027,1,47.245808,0,0,359.8642,0,13.788919,132.47076,22.121937,33848,50.700001,32.700001
1028,1,35.826748,87.456757,83.807785,388.02335,0,13.68457,120.22169,9.414423,98606,71.099998,15.4
1029,1,52.51355,0,0,390.82574,0,25.122473,133.98119,10.300783,16141,26.200001,15.9
1030,1,49.874001,0,0,469.30389,0,34.299435,130.64761,0,22363,30.1,5.5999999
1031,1,53.809502,0,0,460.33389,4.7562428,23.781214,150.19742,7.1684589,22899,17.200001,15.1
1032,1,77.78582,0,1132.2839,556.59998,8.9581652,17.91633,140.39278,0,13863,20.5,81.300003
1033,1,70.75676,0,0,477.5,0,0,119.16847,6.4449601,20524,15.8,70.699997
1034,1,64.056786,0,0,479.42657,7.2939458,14.587892,112.64493,0,15859,33.799999,45.599998
1035,1,46.032688,33.844273,46.175858,433.00314,2.8747196,27.309837,85.680862,8.7904358,50661,62,27.299999
1036,1,52.100143,0,0,367.76569,4.3614793,23.988136,110.16816,16.079756,37443,25.5,6.0999999
1037,1,30.840883,91.646515,67.995476,533.44153,1.4783195,18.109415,124.42197,3.5608478,636496,84.599998,34.599998
1038,1,46.945538,0,0,466.77713,0,34.314735,124.36502,0,14507,0,14.7
1039,1,35.300106,161.91562,761.01556,371.73657,6.0412922,12.082584,86.962791,4.9514756,61690,51.400002,11.8
1040,1,56.771191,164.49716,0,409.90286,6.5789475,29.605263,114.22561,11.411617,24916,0,22.299999
1041,1,42.510731,706.63507,696.99561,330.9581,1.766098,28.257568,84.782028,10.002001,50395,64.199997,36.599998
1042,1,49.06786,0,0,389.26376,0,21.532131,103.73557,0,37489,25.6,20.9
1043,1,76.947334,1110.1533,1201.1913,599.50146,6.3856959,44.699871,109.10914,15.124017,15883,0,80.699997
1044,1,60.517235,1241.3302,1715.5699,802.86304,4.3256335,17.302534,191.05515,5.7392101,27413,13.3,83.400002
1045,1,29.391495,62.03054,377.37686,290.82153,2.8470075,11.957432,71.270546,7.3855243,119011,63.900002,18.700001
1046,1,63.184452,0,0,437.22867,0,19.744896,121.45445,9.5183706,28284,36.5,62.099998
1047,1,52.759903,0,0,441.97409,3.8317113,22.990267,143.62752,0,22215,13.3,3.3
1048,1,41.137676,0,0,400.41635,1.7736472,24.83106,109.62936,3.2206118,48054,46.799999,2.3
1049,1,31.982508,185.1087,184.4543,350.80768,2.1056747,23.463234,108.99312,6.6643562,317383,86.099998,32.099998
1050,1,62.368958,0,0,424.15936,0,21.501677,115.60873,5.831584,22996,16.200001,50.599998
1051,1,36.756565,438.82935,0,714.08203,5.0379248,13.434465,103.93018,7.9365077,169937,84.400002,38.099998
1052,1,36.461369,152.19882,143.0602,407.168,3.6956735,22.174042,97.949615,2.4875622,61621,56.599998,12.6
1053,1,75.13681,68.464348,78.747383,470.08252,6.6374617,46.462234,142.00647,30.921459,17295,21.9,65.699997
1054,1,58.915573,193.29054,248.82648,437.86383,0,4.9566293,111.76583,6.3107409,21988,14.6,44.700001
1055,1,61.9207,0,1207.6702,473.422,0,4.3569188,98.397522,0,26377,49.099998,41.299999
1056,1,50.720825,0,0,457.61334,0,34.040623,131.64014,17.325018,19928,27.1,25.5
1057,1,49.997887,62.692917,59.168228,387.81006,2.2016249,28.621122,113.67396,8.8683929,47610,59.599998,49.400002
1058,1,44.420078,110.06792,0,326.83752,2.712085,27.12085,98.979713,0,25365,17.700001,16.799999
1059,1,45.083767,0,0,357.21008,0,19.089931,73.121788,9.4428711,32694,8.6000004,18.9
1060,1,73.843216,1890.1919,1900.2073,506.40744,0,11.761247,172.81976,0,20880,14.6,76.300003
1061,1,45.342716,78.188072,91.623413,418.94501,4.2081637,22.443541,117.10341,12.903226,66629,54.200001,32
1062,1,40.672295,98.26519,1223.6824,431.76065,0,37.037037,133.81149,0,34656,51,28.9
1063,1,40.569523,51.18903,71.006592,368.54208,3.6667309,19.250338,104.60076,11.615414,110215,70.400002,28.700001
1064,1,44.656731,112.18576,106.31867,537.15961,0,16.566166,135.89069,2.865658,55467,25.799999,10.3
1065,1,54.223682,0,0,300.60403,0,32.99604,102.08711,0,16529,0,32.700001
1066,1,78.654282,0,0,426.85703,6.1236987,55.113289,152.99315,12.588117,18691,0,77.900002
1067,1,50.543728,0,0,496.81158,0,20.909567,118.58055,0,15273,25.200001,.5
2001,,,0,0,0,,,,0,,,
2002,,,0,0,47.208637,,,,33.400135,,,
